id_cliente,nome,idade,sexo,cidade,uf,segmento,tempo_relacionamento,faixa_renda,tipo_conta,app_favorito,persona,faixa_renda_cod
32,amanda barros,36,m,maracanaú,ce,varejo,4,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
33,ravi lucca brito,43,f,ribeirão preto,sp,varejo,17,até r$ 2.000,corrente,ios,cliente tradicional,0
34,gabrielly da mota,40,m,ilhéus,ba,varejo,13,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
35,maria porto,44,f,uberlândia,mg,uniclass,8,acima de r$ 20.000,digital,android,investidor,4
36,emanuella castro,47,m,jaboatão dos guararapes,pe,uniclass,21,r$ 5.001 – r$ 10.000,corrente,ios,premium,2
37,ester fogaça,40,f,osasco,sp,varejo,16,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
38,otto rios,60,m,juazeiro,ba,varejo,25,r$ 2.001 – r$ 5.000,corrente,ios,idoso,1
39,vitor sampaio,40,f,tangará da serra,mt,varejo,5,até r$ 2.000,salário,ios,cliente tradicional,0
40,diego pereira,40,f,guarulhos,sp,varejo,2,até r$ 2.000,corrente,ios,cliente tradicional,0
41,luigi nascimento,23,m,caucaia,ce,varejo,2,até r$ 2.000,digital,ios,jovem digital,0
42,samuel castro,53,m,guarulhos,sp,uniclass,12,r$ 5.001 – r$ 10.000,digital,android,premium,2
43,maria eduarda garcia,68,m,rio verde,go,varejo,17,r$ 5.001 – r$ 10.000,digital,android,idoso,2
44,vitor hugo porto,77,m,vila velha,es,uniclass,5,até r$ 2.000,salário,android,idoso,0
45,pedro lucas rodrigues,22,f,são gonçalo,rj,varejo,2,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
46,aylla vargas,40,f,são bernardo do campo,sp,personnalité,5,r$ 2.001 – r$ 5.000,salário,android,cliente tradicional,1
47,daniel da conceição,22,f,bauru,sp,varejo,1,até r$ 2.000,digital,android,jovem digital,0
48,benício dias,23,f,parnaíba,pi,varejo,0,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
49,isadora da mata,41,f,timon,ma,varejo,11,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
50,davi lucca cunha,40,m,maracanaú,ce,varejo,8,r$ 2.001 – r$ 5.000,digital,android,cliente tradicional,1
51,ana vitória cunha,36,m,betim,mg,personnalité,6,r$ 10.001 – r$ 20.000,corrente,android,investidor,3
52,melina gonçalves,70,f,vila velha,es,varejo,15,r$ 2.001 – r$ 5.000,corrente,android,idoso,1
53,maria cecília casa grande,42,f,montes claros,mg,varejo,12,r$ 10.001 – r$ 20.000,digital,android,investidor,3
54,vinícius carvalho,28,f,osasco,sp,varejo,4,até r$ 2.000,corrente,android,jovem digital,0
55,thales souza,73,m,goiânia,go,varejo,24,r$ 5.001 – r$ 10.000,corrente,android,idoso,2
56,stephany da luz,33,f,brasília,df,varejo,6,r$ 10.001 – r$ 20.000,digital,android,investidor,3
57,liz pacheco,40,f,palmeira dos índios,al,uniclass,5,r$ 5.001 – r$ 10.000,salário,android,cliente tradicional,2
58,isabelly fonseca,71,m,montes claros,mg,varejo,26,r$ 10.001 – r$ 20.000,digital,android,idoso,3
59,pedro lucas carvalho,42,m,uberaba,mg,uniclass,5,r$ 10.001 – r$ 20.000,corrente,android,investidor,3
60,nicole monteiro,78,m,vitória da conquista,ba,varejo,35,até r$ 2.000,corrente,android,idoso,0
61,fernando sá,43,f,luziânia,go,varejo,7,até r$ 2.000,corrente,ios,cliente tradicional,0
62,calebe camargo,45,f,juazeiro,ba,varejo,5,r$ 2.001 – r$ 5.000,salário,ios,cliente tradicional,1
63,leandro pires,45,m,petrópolis,rj,uniclass,22,acima de r$ 20.000,corrente,android,investidor,4
64,liam vieira,38,f,osasco,sp,uniclass,6,r$ 2.001 – r$ 5.000,corrente,android,investidor,1
65,lavínia peixoto,40,m,uberaba,mg,varejo,7,até r$ 2.000,corrente,ios,cliente tradicional,0
66,davi lucas gomes,20,f,uberlândia,mg,varejo,0,r$ 5.001 – r$ 10.000,digital,ios,jovem digital,2
67,giovanna peixoto,36,m,porto velho,ro,varejo,5,até r$ 2.000,salário,android,cliente tradicional,0
68,maria helena moura,38,m,luziânia,go,personnalité,14,r$ 2.001 – r$ 5.000,corrente,android,investidor,1
69,theodoro novaes,40,f,imperatriz,ma,personnalité,8,r$ 5.001 – r$ 10.000,corrente,ios,premium,2
70,antônio rodrigues,49,f,juazeiro,ba,uniclass,7,r$ 2.001 – r$ 5.000,corrente,ios,premium,1
71,ian rodrigues,24,m,goiânia,go,varejo,4,r$ 5.001 – r$ 10.000,corrente,ios,jovem digital,2
72,stella sá,64,m,fortaleza,ce,varejo,22,até r$ 2.000,corrente,android,idoso,0
73,vitor vargas,73,f,caxias,ma,uniclass,5,até r$ 2.000,salário,android,idoso,0
74,carolina camargo,21,f,novo hamburgo,rs,varejo,0,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
75,ana beatriz lopes,45,f,governador valadares,mg,varejo,13,r$ 10.001 – r$ 20.000,digital,android,investidor,3
76,levi marques,41,m,nova iguaçu,rj,varejo,11,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
77,andré silveira,37,f,osasco,sp,uniclass,9,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
78,vinicius montenegro,41,f,ribeirão preto,sp,varejo,7,r$ 5.001 – r$ 10.000,digital,android,cliente tradicional,2
79,luiz henrique montenegro,47,m,lagarto,se,varejo,15,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
80,heitor pires,35,m,itajaí,sc,varejo,9,r$ 2.001 – r$ 5.000,corrente,ios,cliente tradicional,1
81,ana cecília porto,38,f,recife,pe,varejo,11,r$ 10.001 – r$ 20.000,corrente,ios,investidor,3
82,natália pereira,78,m,são paulo,sp,varejo,18,r$ 2.001 – r$ 5.000,corrente,android,idoso,1
83,miguel cassiano,44,f,petrolina,pe,varejo,5,até r$ 2.000,salário,android,cliente tradicional,0
84,evelyn teixeira,43,m,sorocaba,sp,varejo,19,r$ 10.001 – r$ 20.000,corrente,ios,cliente tradicional,3
85,lorenzo nogueira,23,m,aracaju,se,varejo,1,até r$ 2.000,corrente,ios,jovem digital,0
86,sofia abreu,37,m,santarém,pa,varejo,5,r$ 2.001 – r$ 5.000,digital,ios,cliente tradicional,1
87,ayla mendonça,72,f,araguaína,to,personnalité,27,r$ 2.001 – r$ 5.000,corrente,android,idoso,1
88,arthur miguel camargo,41,m,juazeiro,ba,varejo,13,até r$ 2.000,corrente,android,cliente tradicional,0
89,eloá das neves,40,m,anápolis,go,varejo,15,até r$ 2.000,digital,ios,cliente tradicional,0
90,rhavi araújo,71,f,juazeiro do norte,ce,varejo,5,r$ 5.001 – r$ 10.000,salário,android,idoso,2
91,rodrigo nunes,75,f,uberlândia,mg,varejo,16,até r$ 2.000,corrente,ios,idoso,0
92,emanuel barros,36,m,petrolina,pe,varejo,9,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
93,maria vitória azevedo,41,f,recife,pe,uniclass,13,até r$ 2.000,corrente,ios,investidor,0
94,sophia vargas,47,m,juazeiro do norte,ce,personnalité,12,r$ 5.001 – r$ 10.000,corrente,ios,premium,2
95,josé cardoso,21,m,petrópolis,rj,varejo,0,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
96,maria laura novaes,22,m,florianópolis,sc,varejo,2,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
97,lucas da luz,41,f,caracaraí,rr,varejo,5,r$ 2.001 – r$ 5.000,salário,android,cliente tradicional,1
98,sarah pereira,73,m,salvador,ba,varejo,28,até r$ 2.000,corrente,android,idoso,0
99,lavínia cunha,21,m,laranjal do jari,ap,varejo,1,r$ 5.001 – r$ 10.000,digital,ios,jovem digital,2
100,valentina sá,72,m,cuiabá,mt,varejo,13,r$ 2.001 – r$ 5.000,corrente,android,idoso,1
101,murilo silva,41,m,governador valadares,mg,varejo,12,r$ 5.001 – r$ 10.000,corrente,ios,cliente tradicional,2
102,ana lívia guerra,51,m,natal,rn,uniclass,21,r$ 10.001 – r$ 20.000,corrente,ios,premium,3
103,evelyn macedo,20,f,montes claros,mg,uniclass,0,r$ 2.001 – r$ 5.000,salário,android,jovem digital,1
104,pietra machado,75,m,campos dos goytacazes,rj,varejo,5,r$ 5.001 – r$ 10.000,salário,android,idoso,2
105,isaque da cruz,42,f,betim,mg,varejo,24,r$ 2.001 – r$ 5.000,corrente,ios,cliente tradicional,1
106,rael azevedo,25,f,parintins,am,varejo,4,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
107,camila almeida,44,f,ilhéus,ba,varejo,14,r$ 2.001 – r$ 5.000,digital,ios,cliente tradicional,1
108,raul pastor,43,m,santa rita,pb,varejo,14,r$ 5.001 – r$ 10.000,digital,ios,premium,2
109,pedro lucas abreu,37,f,nova iguaçu,rj,varejo,5,r$ 5.001 – r$ 10.000,salário,ios,cliente tradicional,2
110,diego santos,38,m,anápolis,go,uniclass,9,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
111,dante da conceição,58,f,juazeiro,ba,personnalité,4,r$ 10.001 – r$ 20.000,corrente,ios,premium,3
112,davi luiz andrade,43,m,betim,mg,varejo,3,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
113,bianca barbosa,38,f,contagem,mg,varejo,12,até r$ 2.000,corrente,ios,cliente tradicional,0
114,olívia da costa,24,m,contagem,mg,varejo,1,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
115,agatha rios,22,f,vitória da conquista,ba,uniclass,2,acima de r$ 20.000,digital,ios,jovem digital,4
116,maria vitória cunha,22,f,lagarto,se,varejo,2,r$ 2.001 – r$ 5.000,corrente,ios,jovem digital,1
117,valentina cardoso,24,f,laranjal do jari,ap,uniclass,1,r$ 2.001 – r$ 5.000,corrente,ios,jovem digital,1
118,maria júlia da cruz,53,f,juiz de fora,mg,uniclass,19,acima de r$ 20.000,digital,android,investidor,4
119,maria júlia jesus,32,f,belém,pa,varejo,6,r$ 5.001 – r$ 10.000,digital,ios,cliente tradicional,2
120,mateus brito,37,m,joinville,sc,varejo,11,r$ 2.001 – r$ 5.000,digital,android,cliente tradicional,1
121,gael ribeiro,22,m,sorocaba,sp,uniclass,1,r$ 5.001 – r$ 10.000,digital,android,jovem digital,2
122,lorena fogaça,48,m,joinville,sc,uniclass,18,acima de r$ 20.000,digital,ios,premium,4
123,lavínia jesus,66,m,vitória,es,varejo,5,acima de r$ 20.000,salário,ios,idoso,4
124,maria helena siqueira,22,m,juazeiro do norte,ce,varejo,1,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
125,cauê rocha,28,f,uberlândia,mg,varejo,5,até r$ 2.000,digital,ios,jovem digital,0
126,gael henrique araújo,36,m,sorocaba,sp,uniclass,11,r$ 10.001 – r$ 20.000,digital,android,investidor,3
127,isis siqueira,29,f,luziânia,go,varejo,6,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
128,camila caldeira,34,m,vitória da conquista,ba,varejo,5,até r$ 2.000,corrente,android,cliente tradicional,0
129,theo correia,27,m,luziânia,go,varejo,2,r$ 2.001 – r$ 5.000,salário,ios,jovem digital,1
130,mateus nascimento,47,f,manaus,am,personnalité,17,r$ 2.001 – r$ 5.000,corrente,ios,premium,1
131,manuela carvalho,38,m,bauru,sp,uniclass,8,r$ 5.001 – r$ 10.000,corrente,ios,investidor,2
132,lavínia cirino,18,m,bayeux,pb,uniclass,0,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
133,agatha martins,23,m,fortaleza,ce,uniclass,1,até r$ 2.000,corrente,android,jovem digital,0
134,theo barbosa,27,m,osasco,sp,varejo,1,r$ 5.001 – r$ 10.000,digital,android,jovem digital,2
135,luísa novaes,38,m,santa maria,rs,varejo,5,r$ 2.001 – r$ 5.000,salário,android,cliente tradicional,1
136,gael henrique aragão,27,f,sorocaba,sp,uniclass,1,r$ 5.001 – r$ 10.000,digital,android,jovem digital,2
137,valentina albuquerque,78,f,niterói,rj,varejo,27,até r$ 2.000,digital,android,idoso,0
138,francisco sá,21,f,ponta grossa,pr,varejo,1,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
139,renan cavalcante,41,f,foz do iguaçu,pr,varejo,7,r$ 5.001 – r$ 10.000,corrente,ios,cliente tradicional,2
140,joana mendonça,24,m,osasco,sp,varejo,2,até r$ 2.000,digital,android,jovem digital,0
141,maria luísa cunha,40,m,osasco,sp,varejo,12,r$ 10.001 – r$ 20.000,digital,android,cliente tradicional,3
142,isadora araújo,27,f,rio de janeiro,rj,varejo,2,r$ 5.001 – r$ 10.000,digital,ios,jovem digital,2
143,lucas garcia,48,m,montes claros,mg,uniclass,2,r$ 10.001 – r$ 20.000,corrente,ios,cliente tradicional,3
144,andré gomes,39,m,rondonópolis,mt,varejo,11,até r$ 2.000,digital,android,cliente tradicional,0
145,vinícius viana,24,f,crato,ce,varejo,2,até r$ 2.000,digital,ios,jovem digital,0
146,maria da paz,42,m,anápolis,go,varejo,8,acima de r$ 20.000,digital,android,investidor,4
147,lavínia sampaio,41,m,florianópolis,sc,uniclass,13,r$ 5.001 – r$ 10.000,corrente,ios,premium,2
148,mariah cassiano,24,m,são gonçalo,rj,varejo,1,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
149,mateus da rocha,43,m,camaçari,ba,uniclass,5,até r$ 2.000,salário,android,cliente tradicional,0
150,pedro henrique araújo,43,m,governador valadares,mg,varejo,5,r$ 2.001 – r$ 5.000,salário,android,cliente tradicional,1
151,vitória araújo,37,m,araguaína,to,varejo,5,até r$ 2.000,salário,android,cliente tradicional,0
152,ana sophia araújo,46,m,londrina,pr,varejo,15,r$ 2.001 – r$ 5.000,corrente,android,investidor,1
153,carlos eduardo pacheco,40,m,campinas,sp,uniclass,10,r$ 5.001 – r$ 10.000,corrente,ios,cliente tradicional,2
154,maria liz montenegro,78,m,guarulhos,sp,varejo,20,r$ 2.001 – r$ 5.000,digital,android,idoso,1
155,sofia castro,25,m,osasco,sp,uniclass,2,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
156,danilo moraes,39,m,mauá,sp,varejo,13,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
157,enrico cirino,46,f,caucaia,ce,uniclass,16,r$ 2.001 – r$ 5.000,digital,android,investidor,1
158,davi miguel peixoto,27,f,sorocaba,sp,varejo,4,até r$ 2.000,digital,ios,jovem digital,0
159,davi luiz rocha,43,f,rorainópolis,rr,varejo,9,r$ 2.001 – r$ 5.000,digital,ios,cliente tradicional,1
160,ravy guerra,74,m,belo horizonte,mg,varejo,23,até r$ 2.000,corrente,android,idoso,0
161,isaque nunes,40,m,iguatu,ce,varejo,12,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
162,thales pacheco,22,f,bauru,sp,varejo,3,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
163,bruno pinto,38,m,santarém,pa,varejo,4,r$ 5.001 – r$ 10.000,corrente,android,investidor,2
164,enrico leão,51,f,cascavel,pr,varejo,19,r$ 10.001 – r$ 20.000,corrente,ios,premium,3
165,rebeca dias,25,f,santa rita,pb,varejo,3,até r$ 2.000,digital,android,jovem digital,0
166,vicente costela,23,f,ananindeua,pa,varejo,1,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
167,ana sophia da costa,40,f,ilhéus,ba,varejo,7,até r$ 2.000,corrente,ios,cliente tradicional,0
168,vinícius gonçalves,47,m,águas lindas de goiás,go,varejo,12,r$ 5.001 – r$ 10.000,digital,android,investidor,2
169,joão rios,40,m,niterói,rj,personnalité,8,r$ 2.001 – r$ 5.000,corrente,ios,premium,1
170,ana clara marques,42,m,bayeux,pb,varejo,5,até r$ 2.000,salário,android,cliente tradicional,0
171,ana vitória sá,39,f,osasco,sp,uniclass,10,acima de r$ 20.000,corrente,android,investidor,4
172,diogo albuquerque,24,f,guarulhos,sp,varejo,2,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
173,maria cecília pinto,40,m,maringá,pr,varejo,10,r$ 5.001 – r$ 10.000,corrente,ios,investidor,2
174,guilherme barbosa,36,f,lauro de freitas,ba,personnalité,3,acima de r$ 20.000,corrente,ios,premium,4
175,stephany cunha,37,f,são bernardo do campo,sp,varejo,5,r$ 2.001 – r$ 5.000,salário,ios,cliente tradicional,1
176,natália da luz,24,f,campinas,sp,varejo,4,r$ 2.001 – r$ 5.000,salário,ios,jovem digital,1
177,joão ferreira,47,f,governador valadares,mg,varejo,12,acima de r$ 20.000,corrente,android,investidor,4
178,davi miguel da cruz,72,m,ribeirão preto,sp,uniclass,14,r$ 2.001 – r$ 5.000,corrente,android,idoso,1
179,ester da paz,23,m,governador valadares,mg,uniclass,1,r$ 5.001 – r$ 10.000,digital,ios,jovem digital,2
180,levi macedo,44,m,contagem,mg,varejo,7,r$ 10.001 – r$ 20.000,corrente,android,investidor,3
181,yasmin santos,42,m,osasco,sp,varejo,17,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
182,ana julia pimenta,42,f,sobral,ce,uniclass,12,r$ 2.001 – r$ 5.000,digital,android,investidor,1
183,sarah albuquerque,25,m,fortaleza,ce,varejo,2,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
184,ana clara ribeiro,41,m,sorocaba,sp,varejo,10,r$ 10.001 – r$ 20.000,corrente,ios,cliente tradicional,3
185,gustavo henrique carvalho,24,m,uberlândia,mg,varejo,1,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
186,vinícius camargo,43,f,sorocaba,sp,uniclass,13,r$ 5.001 – r$ 10.000,corrente,android,investidor,2
187,heitor souza,53,f,ribeirão preto,sp,personnalité,21,r$ 5.001 – r$ 10.000,corrente,ios,premium,2
188,leonardo da mata,29,f,maringá,pr,varejo,3,até r$ 2.000,salário,android,jovem digital,0
189,alexia pereira,26,f,uberaba,mg,varejo,3,até r$ 2.000,digital,android,jovem digital,0
190,otto silva,48,m,anápolis,go,varejo,5,r$ 2.001 – r$ 5.000,salário,android,cliente tradicional,1
191,caroline costela,39,f,itacoatiara,am,personnalité,7,acima de r$ 20.000,corrente,android,premium,4
192,vinícius montenegro,32,m,anápolis,go,varejo,4,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
193,mariana da cunha,37,f,vitória,es,varejo,9,r$ 10.001 – r$ 20.000,digital,android,cliente tradicional,3
194,cauã borges,24,f,bauru,sp,varejo,4,r$ 2.001 – r$ 5.000,digital,ios,jovem digital,1
195,lavínia da mota,47,m,palmas,to,uniclass,10,r$ 2.001 – r$ 5.000,corrente,ios,investidor,1
196,caio abreu,37,f,ponta grossa,pr,varejo,10,r$ 10.001 – r$ 20.000,corrente,ios,cliente tradicional,3
197,brenda vargas,35,f,belém,pa,varejo,13,r$ 10.001 – r$ 20.000,corrente,android,cliente tradicional,3
198,josé pedro porto,26,f,porto alegre,rs,varejo,2,r$ 2.001 – r$ 5.000,salário,android,jovem digital,1
199,vinicius castro,19,f,cruzeiro do sul,ac,varejo,1,até r$ 2.000,digital,ios,jovem digital,0
200,luísa novaes,42,m,imperatriz,ma,uniclass,16,r$ 5.001 – r$ 10.000,corrente,android,investidor,2
201,letícia novais,64,f,mauá,sp,varejo,15,até r$ 2.000,corrente,android,idoso,0
202,antony camargo,40,m,juazeiro,ba,varejo,10,acima de r$ 20.000,corrente,ios,cliente tradicional,4
203,dom sales,40,f,maracanaú,ce,uniclass,12,r$ 10.001 – r$ 20.000,digital,android,investidor,3
204,kaique nogueira,36,f,joinville,sc,varejo,5,até r$ 2.000,salário,android,cliente tradicional,0
205,brayan freitas,40,m,petrópolis,rj,uniclass,11,até r$ 2.000,corrente,android,cliente tradicional,0
206,juan lopes,25,m,ariquemes,ro,uniclass,1,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
207,josé miguel aparecida,20,f,bauru,sp,varejo,2,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
208,ana liz fonseca,44,m,bauru,sp,uniclass,8,r$ 10.001 – r$ 20.000,corrente,ios,investidor,3
209,bruno fogaça,27,f,são josé dos pinhais,pr,varejo,4,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
210,otto rodrigues,52,m,sorocaba,sp,personnalité,15,acima de r$ 20.000,corrente,android,premium,4
211,theo rios,48,m,rorainópolis,rr,varejo,22,r$ 2.001 – r$ 5.000,corrente,ios,cliente tradicional,1
212,gustavo fogaça,43,m,juiz de fora,mg,uniclass,15,r$ 10.001 – r$ 20.000,corrente,android,premium,3
213,joana pinto,25,f,santarém,pa,varejo,4,r$ 10.001 – r$ 20.000,digital,android,jovem digital,3
214,leonardo da costa,39,m,são gonçalo do amarante,rn,personnalité,12,r$ 5.001 – r$ 10.000,corrente,ios,premium,2
215,luan cavalcanti,26,m,sorocaba,sp,uniclass,1,r$ 2.001 – r$ 5.000,salário,android,jovem digital,1
216,júlia alves,36,m,são bernardo do campo,sp,uniclass,1,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
217,luiz henrique sousa,41,m,curitiba,pr,uniclass,13,r$ 5.001 – r$ 10.000,corrente,ios,investidor,2
218,brenda viana,46,f,campinas,sp,varejo,5,r$ 2.001 – r$ 5.000,salário,android,cliente tradicional,1
219,juliana rios,46,m,santa maria,rs,varejo,5,r$ 2.001 – r$ 5.000,salário,ios,cliente tradicional,1
220,theo da mata,19,m,arapiraca,al,varejo,0,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
221,liam viana,41,m,campos dos goytacazes,rj,varejo,5,até r$ 2.000,salário,ios,cliente tradicional,0
222,henrique garcia,32,m,osasco,sp,varejo,6,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
223,breno melo,35,m,sena madureira,ac,varejo,9,r$ 5.001 – r$ 10.000,digital,android,cliente tradicional,2
224,pedro miguel costa,41,f,várzea grande,mt,varejo,6,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
225,maria clara ferreira,69,m,camaçari,ba,varejo,13,r$ 2.001 – r$ 5.000,digital,android,idoso,1
226,ana laura vieira,42,f,santos,sp,uniclass,5,r$ 10.001 – r$ 20.000,salário,ios,investidor,3
227,rafael câmara,36,f,santa maria,rs,varejo,9,acima de r$ 20.000,corrente,android,cliente tradicional,4
228,benicio ribeiro,38,f,caruaru,pe,varejo,6,r$ 5.001 – r$ 10.000,digital,android,cliente tradicional,2
229,matheus guerra,44,f,caxias,ma,uniclass,6,r$ 5.001 – r$ 10.000,digital,ios,premium,2
230,bella da mota,38,m,rio verde,go,varejo,4,r$ 10.001 – r$ 20.000,salário,android,cliente tradicional,3
231,davi miguel vargas,82,m,porto velho,ro,varejo,5,r$ 2.001 – r$ 5.000,salário,android,idoso,1
232,agatha ferreira,37,f,samambaia,df,varejo,9,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
233,nicole guerra,23,f,fortaleza,ce,varejo,2,r$ 2.001 – r$ 5.000,corrente,ios,jovem digital,1
234,stella farias,25,f,macapá,ap,varejo,4,r$ 2.001 – r$ 5.000,digital,android,jovem digital,1
235,benjamin camargo,38,f,petrópolis,rj,uniclass,6,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
236,vicente cavalcanti,23,f,santos,sp,uniclass,0,r$ 2.001 – r$ 5.000,corrente,ios,jovem digital,1
237,vinícius andrade,34,f,são bernardo do campo,sp,uniclass,11,r$ 10.001 – r$ 20.000,corrente,ios,cliente tradicional,3
238,henrique peixoto,80,m,caracaraí,rr,varejo,25,r$ 2.001 – r$ 5.000,corrente,ios,idoso,1
239,luara ferreira,42,f,petrópolis,rj,uniclass,12,até r$ 2.000,corrente,android,cliente tradicional,0
240,ana sophia lopes,50,f,joinville,sc,varejo,20,até r$ 2.000,digital,ios,cliente tradicional,0
241,nina camargo,40,m,santos,sp,varejo,6,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
242,helena oliveira,34,m,são gonçalo,rj,uniclass,7,até r$ 2.000,corrente,android,cliente tradicional,0
243,mateus da cunha,39,m,duque de caxias,rj,varejo,4,r$ 10.001 – r$ 20.000,digital,android,investidor,3
244,caio santos,39,f,picos,pi,personnalité,5,acima de r$ 20.000,digital,ios,investidor,4
