id_cliente,nome,idade,sexo,cidade,uf,segmento,tempo_relacionamento,faixa_renda,tipo_conta,app_favorito,persona
133,Agatha Martins,23,M,Fortaleza,CE,Uniclass,1,Até R$ 2.000,Corrente,Android,Jovem Digital
134,Theo Barbosa,27,M,Osasco,SP,Varejo,1,R$ 5.001 – R$ 10.000,Digital,Android,Jovem Digital
135,Luísa Novaes,38,M,Santa Maria,RS,Varejo,5,R$ 2.001 – R$ 5.000,Salário,Android,Cliente Tradicional
136,Gael Henrique Aragão,27,F,Sorocaba,SP,Uniclass,1,R$ 5.001 – R$ 10.000,Digital,Android,Jovem Digital
137,Valentina Albuquerque,78,F,Niterói,RJ,Varejo,27,Até R$ 2.000,Digital,Android,Idoso
138,Francisco Sá,21,F,Ponta Grossa,PR,Varejo,1,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
139,Renan Cavalcante,41,F,Foz do Iguaçu,PR,Varejo,7,R$ 5.001 – R$ 10.000,Corrente,iOS,Cliente Tradicional
140,Joana Mendonça,24,M,Osasco,SP,Varejo,2,Até R$ 2.000,Digital,Android,Jovem Digital
141,Maria Luísa Cunha,40,M,Osasco,SP,Varejo,12,R$ 10.001 – R$ 20.000,Digital,Android,Cliente Tradicional
142,Isadora Araújo,27,F,Rio de Janeiro,RJ,Varejo,2,R$ 5.001 – R$ 10.000,Digital,iOS,Jovem Digital
143,Lucas Garcia,48,M,Montes Claros,MG,Uniclass,2,R$ 10.001 – R$ 20.000,Corrente,iOS,Cliente Tradicional
144,André Gomes,39,M,Rondonópolis,MT,Varejo,11,Até R$ 2.000,Digital,Android,Cliente Tradicional
145,Vinícius Viana,24,F,Crato,CE,Varejo,2,Até R$ 2.000,Digital,iOS,Jovem Digital
146,Maria da Paz,42,M,Anápolis,GO,Varejo,8,Acima de R$ 20.000,Digital,Android,Investidor
147,Lavínia Sampaio,41,M,Florianópolis,SC,Uniclass,13,R$ 5.001 – R$ 10.000,Corrente,iOS,Premium
148,Mariah Cassiano,24,M,São Gonçalo,RJ,Varejo,1,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
149,Mateus da Rocha,43,M,Camaçari,BA,Uniclass,5,Até R$ 2.000,Salário,Android,Cliente Tradicional
150,Pedro Henrique Araújo,43,M,Governador Valadares,MG,Varejo,5,R$ 2.001 – R$ 5.000,Salário,Android,Cliente Tradicional
151,Vitória Araújo,37,M,Araguaína,TO,Varejo,5,Até R$ 2.000,Salário,Android,Cliente Tradicional
152,Ana Sophia Araújo,46,M,Londrina,PR,Varejo,15,R$ 2.001 – R$ 5.000,Corrente,Android,Investidor
153,Carlos Eduardo Pacheco,40,M,Campinas,SP,Uniclass,10,R$ 5.001 – R$ 10.000,Corrente,iOS,Cliente Tradicional
154,Maria Liz Montenegro,78,M,Guarulhos,SP,Varejo,20,R$ 2.001 – R$ 5.000,Digital,Android,Idoso
155,Sofia Castro,25,M,Osasco,SP,Uniclass,2,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
156,Danilo Moraes,39,M,Mauá,SP,Varejo,13,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
157,Enrico Cirino,46,F,Caucaia,CE,Uniclass,16,R$ 2.001 – R$ 5.000,Digital,Android,Investidor
158,Davi Miguel Peixoto,27,F,Sorocaba,SP,Varejo,4,Até R$ 2.000,Digital,iOS,Jovem Digital
159,Davi Luiz Rocha,43,F,Rorainópolis,RR,Varejo,9,R$ 2.001 – R$ 5.000,Digital,iOS,Cliente Tradicional
160,Ravy Guerra,74,M,Belo Horizonte,MG,Varejo,23,Até R$ 2.000,Corrente,Android,Idoso
161,Isaque Nunes,40,M,Iguatu,CE,Varejo,12,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
162,Thales Pacheco,22,F,Bauru,SP,Varejo,3,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
163,Bruno Pinto,38,M,Santarém,PA,Varejo,4,R$ 5.001 – R$ 10.000,Corrente,Android,Investidor
164,Enrico Leão,51,F,Cascavel,PR,Varejo,19,R$ 10.001 – R$ 20.000,Corrente,iOS,Premium
165,Rebeca Dias,25,F,Santa Rita,PB,Varejo,3,Até R$ 2.000,Digital,Android,Jovem Digital
166,Vicente Costela,23,F,Ananindeua,PA,Varejo,1,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
167,Ana Sophia da Costa,40,F,Ilhéus,BA,Varejo,7,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
168,Vinícius Gonçalves,47,M,Águas Lindas de Goiás,GO,Varejo,12,R$ 5.001 – R$ 10.000,Digital,Android,Investidor
169,João Rios,40,M,Niterói,RJ,Personnalité,8,R$ 2.001 – R$ 5.000,Corrente,iOS,Premium
170,Ana Clara Marques,42,M,Bayeux,PB,Varejo,5,Até R$ 2.000,Salário,Android,Cliente Tradicional
171,Ana Vitória Sá,39,F,Osasco,SP,Uniclass,10,Acima de R$ 20.000,Corrente,Android,Investidor
172,Diogo Albuquerque,24,F,Guarulhos,SP,Varejo,2,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
173,Maria Cecília Pinto,40,M,Maringá,PR,Varejo,10,R$ 5.001 – R$ 10.000,Corrente,iOS,Investidor
174,Guilherme Barbosa,36,F,Lauro de Freitas,BA,Personnalité,3,Acima de R$ 20.000,Corrente,iOS,Premium
175,Stephany Cunha,37,F,São Bernardo do Campo,SP,Varejo,5,R$ 2.001 – R$ 5.000,Salário,iOS,Cliente Tradicional
176,Natália da Luz,24,F,Campinas,SP,Varejo,4,R$ 2.001 – R$ 5.000,Salário,iOS,Jovem Digital
177,João Ferreira,47,F,Governador Valadares,MG,Varejo,12,Acima de R$ 20.000,Corrente,Android,Investidor
178,Davi Miguel da Cruz,72,M,Ribeirão Preto,SP,Uniclass,14,R$ 2.001 – R$ 5.000,Corrente,Android,Idoso
179,Ester da Paz,23,M,Governador Valadares,MG,Uniclass,1,R$ 5.001 – R$ 10.000,Digital,iOS,Jovem Digital
180,Levi Macedo,44,M,Contagem,MG,Varejo,7,R$ 10.001 – R$ 20.000,Corrente,Android,Investidor
181,Yasmin Santos,42,M,Osasco,SP,Varejo,17,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
182,Ana Julia Pimenta,42,F,Sobral,CE,Uniclass,12,R$ 2.001 – R$ 5.000,Digital,Android,Investidor
183,Sarah Albuquerque,25,M,Fortaleza,CE,Varejo,2,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
184,Ana Clara Ribeiro,41,M,Sorocaba,SP,Varejo,10,R$ 10.001 – R$ 20.000,Corrente,iOS,Cliente Tradicional
185,Gustavo Henrique Carvalho,24,M,Uberlândia,MG,Varejo,1,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
186,Vinícius Camargo,43,F,Sorocaba,SP,Uniclass,13,R$ 5.001 – R$ 10.000,Corrente,Android,Investidor
187,Heitor Souza,53,F,Ribeirão Preto,SP,Personnalité,21,R$ 5.001 – R$ 10.000,Corrente,iOS,Premium
188,Leonardo da Mata,29,F,Maringá,PR,Varejo,3,Até R$ 2.000,Salário,Android,Jovem Digital
189,Alexia Pereira,26,F,Uberaba,MG,Varejo,3,Até R$ 2.000,Digital,Android,Jovem Digital
190,Otto Silva,48,M,Anápolis,GO,Varejo,5,R$ 2.001 – R$ 5.000,Salário,Android,Cliente Tradicional
191,Caroline Costela,39,F,Itacoatiara,AM,Personnalité,7,Acima de R$ 20.000,Corrente,Android,Premium
192,Vinícius Montenegro,32,M,Anápolis,GO,Varejo,4,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
193,Mariana da Cunha,37,F,Vitória,ES,Varejo,9,R$ 10.001 – R$ 20.000,Digital,Android,Cliente Tradicional
194,Cauã Borges,24,F,Bauru,SP,Varejo,4,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
195,Lavínia da Mota,47,M,Palmas,TO,Uniclass,10,R$ 2.001 – R$ 5.000,Corrente,iOS,Investidor
196,Caio Abreu,37,F,Ponta Grossa,PR,Varejo,10,R$ 10.001 – R$ 20.000,Corrente,iOS,Cliente Tradicional
197,Brenda Vargas,35,F,Belém,PA,Varejo,13,R$ 10.001 – R$ 20.000,Corrente,Android,Cliente Tradicional
198,José Pedro Porto,26,F,Porto Alegre,RS,Varejo,2,R$ 2.001 – R$ 5.000,Salário,Android,Jovem Digital
199,Vinicius Castro,19,F,Cruzeiro do Sul,AC,Varejo,1,Até R$ 2.000,Digital,iOS,Jovem Digital
200,Luísa Novaes,42,M,Imperatriz,MA,Uniclass,16,R$ 5.001 – R$ 10.000,Corrente,Android,Investidor
201,Letícia Novais,64,F,Mauá,SP,Varejo,15,Até R$ 2.000,Corrente,Android,Idoso
202,Antony Camargo,40,M,Juazeiro,BA,Varejo,10,Acima de R$ 20.000,Corrente,iOS,Cliente Tradicional
203,Dom Sales,40,F,Maracanaú,CE,Uniclass,12,R$ 10.001 – R$ 20.000,Digital,Android,Investidor
204,Kaique Nogueira,36,F,Joinville,SC,Varejo,5,Até R$ 2.000,Salário,Android,Cliente Tradicional
205,Brayan Freitas,40,M,Petrópolis,RJ,Uniclass,11,Até R$ 2.000,Corrente,Android,Cliente Tradicional
206,Juan Lopes,25,M,Ariquemes,RO,Uniclass,1,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
207,José Miguel Aparecida,20,F,Bauru,SP,Varejo,2,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
208,Ana Liz Fonseca,44,M,Bauru,SP,Uniclass,8,R$ 10.001 – R$ 20.000,Corrente,iOS,Investidor
209,Bruno Fogaça,27,F,São José dos Pinhais,PR,Varejo,4,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
210,Otto Rodrigues,52,M,Sorocaba,SP,Personnalité,15,Acima de R$ 20.000,Corrente,Android,Premium
211,Theo Rios,48,M,Rorainópolis,RR,Varejo,22,R$ 2.001 – R$ 5.000,Corrente,iOS,Cliente Tradicional
212,Gustavo Fogaça,43,M,Juiz de Fora,MG,Uniclass,15,R$ 10.001 – R$ 20.000,Corrente,Android,Premium
213,Joana Pinto,25,F,Santarém,PA,Varejo,4,R$ 10.001 – R$ 20.000,Digital,Android,Jovem Digital
214,Leonardo da Costa,39,M,São Gonçalo do Amarante,RN,Personnalité,12,R$ 5.001 – R$ 10.000,Corrente,iOS,Premium
215,Luan Cavalcanti,26,M,Sorocaba,SP,Uniclass,1,R$ 2.001 – R$ 5.000,Salário,Android,Jovem Digital
216,Júlia Alves,36,M,São Bernardo do Campo,SP,Uniclass,1,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
217,Luiz Henrique Sousa,41,M,Curitiba,PR,Uniclass,13,R$ 5.001 – R$ 10.000,Corrente,iOS,Investidor
218,Brenda Viana,46,F,Campinas,SP,Varejo,5,R$ 2.001 – R$ 5.000,Salário,Android,Cliente Tradicional
219,Juliana Rios,46,M,Santa Maria,RS,Varejo,5,R$ 2.001 – R$ 5.000,Salário,iOS,Cliente Tradicional
